In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Get_up, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Get_up, Put_something_on_table, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Get_up, Put_something_on_table, Sit_down, Write. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Sit_down, Read, Take_something_off_table, Put_something_on_table, Read. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read, Take_something_off_table, Put_something_on_table, Read, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Put_something_on_table, Read, Eat_snack, Read. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Read, Eat_snack, Read, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read, Eat_snack, Read, Eat_snack, Read. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Eat_snack, Read, Eat_snack, Read, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read, Eat_snack, Read, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Eat_snack, Read, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read, Take_something_off_table, Drink.From_cup, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Read. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Read, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Read, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Read, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read, Take_something_off_table, Drink.From_cup, Put_something_on_table, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Get_up, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Get_up, Put_something_on_table, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Get_up, Put_something_on_table, Sit_down, Read. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Get_up, Put_something_on_table, Sit_down, Read, Put_something_on_table. The person is now performing a different action.
