In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Walk. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Walk, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Walk, Put_something_on_table, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Walk, Put_something_on_table, Walk, Breakfast. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Breakfast.Take_ham, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast.Take_ham, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Take_ham, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Breakfast.Take_ham. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Breakfast.Take_ham, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Breakfast.Take_ham, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Breakfast.Take_ham, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Take_ham, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Get_up, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Get_up, Take_something_off_table, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Get_up, Take_something_off_table, Put_something_on_table, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Get_up, Take_something_off_table, Put_something_on_table, Sit_down, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Put_something_on_table, Sit_down, Take_something_off_table, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Sit_down, Take_something_off_table, Use_glasses, Read. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Sit_down, Take_something_off_table, Use_glasses, Read, Write. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Use_glasses, Read, Write, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Use_glasses, Read, Write, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read, Write, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Write, Take_something_off_table, Drink.From_cup, Put_something_on_table, Write. The person is now performing a different action.
