In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Leave. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Leave, Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Leave, Enter, Walk, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Sit_down, Watch_TV, Get_up, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Watch_TV, Get_up, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Get_up, Walk, Walk, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Walk, Walk, Watch_TV, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Walk, Watch_TV, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Watch_TV, Walk, Walk, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Walk, Walk, Watch_TV, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Walk, Watch_TV, Walk, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Watch_TV, Walk, Watch_TV, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Walk, Watch_TV, Walk, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Watch_TV, Walk, Watch_TV, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Walk, Watch_TV, Walk, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Watch_TV, Walk, Watch_TV, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Walk, Watch_TV, Walk, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Watch_TV, Walk, Sit_down, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Walk, Sit_down, Watch_TV, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Sit_down, Watch_TV, Get_up, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Watch_TV, Get_up, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Get_up, Take_something_off_table, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Take_something_off_table, Drink.From_cup, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Drink.From_cup, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Drink.From_cup, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Drink.From_cup, Put_something_on_table, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Put_something_on_table, Watch_TV, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Watch_TV, Walk, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Watch_TV, Walk, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Walk, Leave, Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Leave, Enter, Walk, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Leave, Enter, Walk, Sit_down, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Enter, Walk, Sit_down, Watch_TV, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Sit_down, Watch_TV, Get_up, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Watch_TV, Get_up, Walk, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Get_up, Walk, Watch_TV, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Walk, Watch_TV, Walk, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Watch_TV, Walk, Watch_TV, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Walk, Watch_TV, Walk, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Watch_TV, Walk, Watch_TV, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Walk, Watch_TV, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Watch_TV, Walk, Walk, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Walk, Walk, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Walk, Take_something_off_table, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Take_something_off_table, Drink.From_cup, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Drink.From_cup, Put_something_on_table, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Put_something_on_table, Walk, Use_telephone. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Walk, Use_telephone, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Walk, Use_telephone, Walk, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Use_telephone, Walk, Sit_down, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_telephone, Walk, Sit_down, Watch_TV, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Sit_down, Watch_TV, Get_up, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Watch_TV, Get_up, Walk, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Get_up, Walk, Watch_TV, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Walk, Watch_TV, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Watch_TV, Walk, Walk, Take_pills. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Walk, Walk, Take_pills, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Walk, Take_pills, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Take_pills, Take_something_off_table, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_pills, Take_something_off_table, Drink.From_cup, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Drink.From_cup, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Drink.From_cup, Put_something_on_table, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Put_something_on_table, Walk, Sit_down. The person is now performing a different action.
