In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Use_Drawer, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Use_Drawer, Walk, Cook.Use_oven, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Walk, Cook.Use_oven, Walk, Cook.Cut. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Cook.Use_oven, Walk, Cook.Cut, Cook.Cut. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Use_oven, Walk, Cook.Cut, Cook.Cut, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Cook.Cut, Cook.Cut, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Cut, Cook.Cut, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Cut, Take_something_off_table, Drink.From_cup, Put_something_on_table, Cook.Cut. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Cook.Cut, Cook.Cut. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Cook.Cut, Cook.Cut, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Cook.Cut, Cook.Cut, Eat_snack, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Cut, Cook.Cut, Eat_snack, Walk, Dump_in_trash. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Cut, Eat_snack, Walk, Dump_in_trash, Dump_in_trash. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Eat_snack, Walk, Dump_in_trash, Dump_in_trash, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Dump_in_trash, Dump_in_trash, Cook.Stir, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Dump_in_trash, Dump_in_trash, Cook.Stir, Cook.Stir, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Dump_in_trash, Cook.Stir, Cook.Stir, Walk, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Cook.Stir, Walk, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Walk, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Take_something_off_table, Drink.From_cup, Put_something_on_table, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Cook.Stir, Cook.Use_oven. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Cook.Stir, Cook.Use_oven, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Cook.Stir, Cook.Use_oven, Cook.Stir, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Cook.Use_oven, Cook.Stir, Cook.Stir, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Use_oven, Cook.Stir, Cook.Stir, Cook.Stir, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Cook.Stir, Cook.Stir, Cook.Stir, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Cook.Stir, Cook.Stir, Drink.From_cup, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Cook.Stir, Drink.From_cup, Take_something_off_table, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Drink.From_cup, Take_something_off_table, Put_something_on_table, Clean_dishes. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_cup, Take_something_off_table, Put_something_on_table, Clean_dishes, Clean_dishes.Dry_up. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Put_something_on_table, Clean_dishes, Clean_dishes.Dry_up, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Clean_dishes, Clean_dishes.Dry_up, Use_Drawer, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes, Clean_dishes.Dry_up, Use_Drawer, Cook.Stir, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Dry_up, Use_Drawer, Cook.Stir, Cook.Stir, Cook.Use_oven. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Cook.Stir, Cook.Stir, Cook.Use_oven, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Cook.Stir, Cook.Use_oven, Cook.Stir, Clean_dishes.Dry_up. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Cook.Use_oven, Cook.Stir, Clean_dishes.Dry_up, Clean_dishes. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Use_oven, Cook.Stir, Clean_dishes.Dry_up, Clean_dishes, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Clean_dishes.Dry_up, Clean_dishes, Use_Drawer, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Dry_up, Clean_dishes, Use_Drawer, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes, Use_Drawer, Take_something_off_table, Drink.From_cup, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Take_something_off_table, Drink.From_cup, Walk, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Walk, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_cup, Walk, Drink.From_cup, Drink.From_cup, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Drink.From_cup, Drink.From_cup, Walk, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Walk, Put_something_on_table, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_cup, Walk, Put_something_on_table, Cook.Stir, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Put_something_on_table, Cook.Stir, Cook.Stir, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Cook.Stir, Cook.Stir, Use_Drawer, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Cook.Stir, Use_Drawer, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Use_Drawer, Put_something_on_table, Take_something_off_table, Cook.Use_stove. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Put_something_on_table, Take_something_off_table, Cook.Use_stove, Cook.Use_stove. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Cook.Use_stove, Cook.Use_stove, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Cook.Use_stove, Cook.Use_stove, Eat_snack, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Use_stove, Cook.Use_stove, Eat_snack, Use_Drawer, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Use_stove, Eat_snack, Use_Drawer, Take_something_off_table, Walk. The person is now performing a different action.
