In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter, Walk, Breakfast. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter, Walk, Breakfast, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Spread_jam_or_butter, Breakfast.Take_ham. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Breakfast.Spread_jam_or_butter, Breakfast.Take_ham, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast.Spread_jam_or_butter, Breakfast.Take_ham, Breakfast.Cut_bread, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Breakfast.Take_ham, Breakfast.Cut_bread, Breakfast.Eat_at_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Take_ham, Breakfast.Cut_bread, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Take_something_off_table, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Take_something_off_table, Breakfast.Spread_jam_or_butter, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Take_something_off_table, Breakfast.Spread_jam_or_butter, Put_something_on_table, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Breakfast.Spread_jam_or_butter, Put_something_on_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Put_something_on_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Take_something_off_table, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Take_something_off_table, Breakfast.Spread_jam_or_butter, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Take_something_off_table, Breakfast.Spread_jam_or_butter, Put_something_on_table, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Breakfast.Spread_jam_or_butter, Put_something_on_table, Breakfast.Cut_bread, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Put_something_on_table, Breakfast.Cut_bread, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast.Cut_bread, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Take_something_off_table, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Take_something_off_table, Put_something_on_table, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Take_something_off_table, Put_something_on_table, Breakfast.Cut_bread, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Put_something_on_table, Breakfast.Cut_bread, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast.Cut_bread, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Put_something_on_table, Take_something_off_table, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Put_something_on_table, Take_something_off_table, Breakfast.Cut_bread, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Breakfast.Cut_bread, Breakfast.Eat_at_table, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Breakfast.Cut_bread, Breakfast.Eat_at_table, Breakfast.Cut_bread, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Breakfast.Eat_at_table, Breakfast.Cut_bread, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Cut_bread, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Take_something_off_table, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Take_something_off_table, Put_something_on_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Get_up, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Get_up, Take_something_off_table, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Get_up, Take_something_off_table, Walk, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Get_up, Take_something_off_table, Walk, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Walk, Leave, Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Walk, Leave, Enter, Walk, Use_cupboard. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Leave, Enter, Walk, Use_cupboard, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter, Walk, Use_cupboard, Take_something_off_table, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Walk, Use_cupboard, Take_something_off_table, Put_something_on_table, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Use_cupboard, Take_something_off_table, Put_something_on_table, Put_something_on_table, Take_pills. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Put_something_on_table, Put_something_on_table, Take_pills, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Put_something_on_table, Take_pills, Take_something_off_table, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_pills, Take_something_off_table, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_pills, Take_something_off_table, Put_something_on_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Take_something_off_table, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Take_something_off_table, Walk, Use_cupboard. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Walk, Use_cupboard, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Walk, Use_cupboard, Walk, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Walk, Use_cupboard, Walk, Put_something_on_table, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Use_cupboard, Walk, Put_something_on_table, Sit_down, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Walk, Put_something_on_table, Sit_down, Use_glasses, Read. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Sit_down, Use_glasses, Read, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Sit_down, Use_glasses, Read, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Use_glasses, Read, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read, Take_something_off_table, Drink.From_cup, Put_something_on_table, Read. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Read, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Read, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Read, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read, Take_something_off_table, Drink.From_cup, Put_something_on_table, Read. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Read, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Read, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Read, Take_something_off_table, Drink.From_cup, Read. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read, Take_something_off_table, Drink.From_cup, Read, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Read, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
